adm3_pcode,adm1_name,adm2_name,adm3_name,landslide_label,area_km2,centroid_lon,centroid_lat,chirps_monthly_mean_mm,chirps_monthly_max_mm,chirps_total_mm_available_period,chirps_mean_annual_total_mm,chirps_max_annual_total_mm,chirps_mean_monsoon_total_mm,chirps_max_monsoon_total_mm,chirps_latest_12_month_total_mm,chirps_latest_12_month_mean_mm,elevation_mean_m,elevation_min_m,elevation_max_m,elevation_range_m,elevation_std_m,slope_mean_degrees,slope_max_degrees,aspect_mean_degrees,aspect_sin_mean,aspect_cos_mean,nearest_river_distance_km,river_length_km,river_density_km_per_km2,river_intersection_count,hybas_dist_sink,hybas_dist_main,hybas_sub_area_km2,hybas_up_area_km2,landcover_tiles_used_count,lc_10_tree_cover_percent,lc_20_shrubland_percent,lc_30_grassland_percent,lc_40_cropland_percent,lc_50_built_up_percent,lc_60_bare_sparse_vegetation_percent,lc_70_snow_and_ice_percent,lc_80_permanent_water_bodies_percent,lc_90_herbaceous_wetland_percent,lc_100_moss_and_lichen_percent,dominant_landcover_percent,landcover_classes_over_5_percent,worldpop_population_sum,worldpop_population_density_per_km2,worldpop_population_mean_pixel_value,worldpop_population_max_pixel_value,osm_road_length_km,osm_major_road_length_km,osm_road_segment_count,osm_road_density_km_per_km2,osm_major_road_density_km_per_km2,osm_building_count,osm_building_footprint_area_km2,osm_building_density_per_km2,osm_building_footprint_percent,osm_place_count,osm_place_density_per_km2,osm_nearest_place_distance_km
NP0444401,Gandaki,Myagdi,Dhawalagiri,0,860.7397691204093,83.34841656651896,28.62329417255052,97.41316512773606,362.6618203555837,13248.190457372104,1104.0158714476754,1361.187965112574,876.8229154189004,1017.8342305351706,1246.6130334068748,103.8844194505729,3975.196031286215,1118.42822265625,8135.912109375,7017.48388671875,1469.896629087267,34.20289480441589,80.42591136658491,158.42690623939714,0.0310149101790064,-0.0784423247795871,1.1987170645045884,274.9381511469408,0.3194207599213178,132,1457.7,1457.7,133.0,271.9,1,36.87265159835829,0.0,15.622868373894445,0.141048615526909,0.0057806809642175,6.931036476096884,31.659633504826868,0.1711081565408405,0.0,8.595872593791547,36.87265159835829,5,1534.474639892578,1.7827393306813963,511.4915466308594,1167.298095703125,280.19392453929066,4.32966353549736,302,0.3255268718739708,0.0050301655515718,3786,0.1955125531996623,4.398541970320387,0.0227144788952248,12,0.0139414959439631,4.344482961850455
NP0444402,Gandaki,Myagdi,Raghuganga,1,379.9737617183167,83.51763967973234,28.53280879899869,91.68919299751924,334.1818448580228,12469.730247662616,1039.144187305218,1288.9897703390857,782.1957682896328,898.2157252385066,1170.2085960461543,97.5173830038462,3097.2346551488263,866.0700073242188,8077.9189453125,7211.848937988281,1184.0012575940382,32.26721129765783,76.97445686381329,159.53823792418643,0.0493074275547647,-0.1321474932508376,0.2994451213421422,132.0109341734752,0.3474211839693761,72,1442.8,1442.8,171.9,171.9,1,58.21293969849246,0.0,16.975502512562816,0.4370812395309882,0.0785175879396985,4.928287269681742,8.364740368509214,0.0916038525963149,0.0,10.911327470686768,58.21293969849246,4,2232.374420166016,5.875075189588818,558.0936050415039,840.4056396484375,308.4117619467207,60.78686972013628,468,0.8116659438589169,0.1599764927063542,5799,0.3155144017428955,15.26158009904624,0.0830358391895474,8,0.0210540853237402,6.00173122373339
NP0444403,Gandaki,Myagdi,Annapurna,1,557.5065867493943,83.70892491263267,28.5297206524944,111.87860272912418,423.59761810302734,15215.489971160889,1267.9574975967407,1531.5476960301398,1018.7486159064553,1150.2808773040772,1427.8769465327264,118.98974554439388,3549.272853330569,927.3179931640624,7961.45556640625,7034.137573242188,1470.2817415856807,34.727958724753755,81.71195720563973,271.14420855180566,-0.1330150700881616,0.0026566916054157,0.6146560133965464,199.94455630328216,0.3586407067745722,92,1446.3,1446.3,133.0,133.0,1,41.12588098849139,0.0,21.30430903738068,0.0963511464002141,0.0624498171112498,10.30957266482291,17.584084218039074,0.4246587563564992,0.0,9.092693371397983,41.12588098849139,5,7268.69261932373,13.037859627282025,316.03011388364047,1332.4141845703125,469.0283815824678,21.52702513429808,881,0.8412965743009266,0.0386130417934859,6774,0.3527868636599783,12.150529089703818,0.0632794072832291,39,0.0699543304544506,3.3508702869437825
NP0444404,Gandaki,Myagdi,Malika,1,147.5373077449527,83.35329602680379,28.419321522252087,109.71982996983854,426.92780049641925,14921.896875898045,1243.4914063248368,1567.9218440850575,1011.7333717346193,1189.734204610189,1443.4402734835944,120.2866894569662,2091.5134702515807,1000.0,3644.5439453125,2644.5439453125,487.900781555591,31.383147764955027,72.80393416422267,58.31678585545599,0.1802573698802186,0.1112562801466518,0.1311243512601039,41.27044324931317,0.2797288623475308,23,1440.1,1440.1,138.9,833.3,1,83.60600552077021,0.0,14.468457550663166,1.346529320675958,0.0538611728270383,0.3635629165825086,0.0,0.1615835184811149,0.0,0.0,83.60600552077021,2,0.0,0.0,0.0,0.0,304.4872496707159,28.243763915839548,306,2.0637983322637425,0.1914347248674515,5304,0.2399875545509677,35.95022900356165,0.1626622840141786,1,0.0067779466447137,4.336903406040382
NP0444405,Gandaki,Myagdi,Mangala,1,89.04502442029043,83.45068756305669,28.37825519011953,104.43576358580124,398.9075520833333,14203.263847668966,1183.6053206390804,1493.774200518926,980.189224243164,1145.6668802897134,1341.8129686514535,111.81774738762114,1793.3652405472174,903.8204345703124,3042.8984375,2139.0780029296875,484.0518133092961,32.260078662641305,71.42534192500712,41.13085698971885,0.0534133250880067,0.0611623189625794,0.6289673324501146,31.18430222833813,0.3502082506165527,14,1419.4,1419.4,142.0,975.3,1,88.12264777507195,0.0,9.20965242417534,1.9592649988930704,0.0221385875581137,0.0664157626743413,0.0,0.6198804516271862,0.0,0.0,88.12264777507195,2,4981.47705078125,55.94335094197734,1660.4923502604167,2539.196533203125,188.68455374390263,30.134438015902152,181,2.1189791902725075,0.338417988114286,5174,0.2378373607945865,58.10543636417955,0.2670978668858574,1,0.0112302737464591,1.836811207709613
NP0444598,Gandaki,Myagdi,Dhorpatan,0,178.51693021447545,83.15715880545872,28.61326672554381,119.58918915075414,437.73365478515626,16264.129724502563,1355.3441437085469,1682.1413891792297,1091.944123424183,1241.7987915039062,1552.7597677230835,129.39664731025695,4223.794161250901,2965.32958984375,7304.10693359375,4338.77734375,760.802613345489,30.05358341098569,72.38071889875792,186.7973702541128,-0.0219881837412115,-0.1844704621176477,1.551581051759345,53.65478239793045,0.3005585091199363,22,1825.2,1825.2,157.8,157.8,1,21.0716068556215,0.0,39.13139941205835,0.03327971601309,0.0,12.124909867435798,13.54484441732764,0.01109323867103,0.0,14.082866492872595,39.13139941205835,5,0.0,0.0,0.0,0.0,11.412680411106471,0.0,9,0.063930521309071,0.0,16,0.0005155718466853,0.0896273534436041,0.0002888083758027,0,0.0,8.169688833468983
NP0445401,Gandaki,Mustang,Lomanthang,0,725.1325125623921,83.98591838068346,29.208267844602084,52.74609796907388,283.58794657389325,7173.469323794047,597.7891103161706,902.9962269111916,439.41340232617927,683.4125110484936,636.6995880338881,53.05829900282401,4719.558042275213,3291.17431640625,6342.62255859375,3051.4482421875,640.9380184216113,21.82140239942249,71.93651123235452,169.38748362127325,0.0259980230110571,-0.1387515650248498,1.1082220539565164,185.4225202746971,0.2557084630221196,35,1546.7,1546.7,176.6,176.6,2,0.0,0.0,35.265431427950446,0.1236144316452945,0.0013584003477504,55.820745490110845,6.131819169745707,0.0815040208650293,0.0,2.5755270593349278,55.820745490110845,3,1425.0910053253174,1.9652835594000475,21.270015004855484,396.9842834472656,235.0604746079546,40.46424635001774,412,0.3241620952525273,0.0558025542214756,1743,0.1378809783699164,2.403698592745182,0.0190145905722373,18,0.0248230491505526,0.8636501143547833
NP0445402,Gandaki,Mustang,Lo Ghekar Damodarkunda,1,1349.374239467427,83.94337771701915,29.0350570791964,62.428558862603765,301.53111267089844,8490.284005314112,707.5236671095093,994.4985056122144,557.8381812211238,785.7880330880482,759.2680277427037,63.2723356452253,4943.790602456071,2958.878662109375,6745.5888671875,3786.710205078125,849.9756474744022,24.29212491356469,74.77434783415478,357.914567501669,-0.0023227055771178,0.0637865063069798,0.361532405678406,352.8614377271503,0.2615000549190995,81,1521.9,1521.9,32.6,1422.1,2,0.0021968365553602,0.0,13.849589923843,0.0336848271821909,0.0,70.03148799062683,14.150556531927355,0.1867311072056239,0.0,1.7457527826596368,70.03148799062683,3,1067.880164146423,0.7913891735237927,24.834422422009844,270.159423828125,387.3211434501229,39.08686981941645,525,0.2870376001864326,0.0289666637143179,565,0.0668647052339822,0.4187126028306239,0.0049552380116855,19,0.0140806008031537,2.824440097686789
NP0445403,Gandaki,Mustang,Varagung Muktichhetra,0,887.444760330365,83.74882554338284,28.88971022778501,56.285514761169416,268.0462703159877,7654.830007519041,637.9025006265867,833.7000741141183,489.8233083650663,635.553825705392,685.8918055806841,57.15765046505701,4708.970689454767,2775.63818359375,6481.63671875,3705.99853515625,928.3763155825412,28.35534415442458,77.39733317804439,193.46322548574503,-0.0064621609868027,-0.0269931499218112,0.6680264304401713,271.5512625240096,0.3059922990845316,92,1499.1,1499.1,98.5,445.0,2,0.1872805306281701,0.0,12.81310963714397,0.0089181205061033,0.0011147650632629,69.20461512736192,14.945655203165934,0.5952845437823978,0.0,2.244022072348253,69.20461512736192,3,1558.669774055481,1.756356951699441,32.47228695948919,124.91741943359376,578.8470088807109,49.45435305094968,876,0.6522625798874806,0.0557266832388976,1159,0.1114940826516344,1.3059967806543185,0.0125634955138085,27,0.0304244288849582,5.503313980766019
NP0445404,Gandaki,Mustang,Gharpajhong,1,317.47572631327625,83.72608665097236,28.76158502523316,50.32495023014353,249.70878677368165,6844.19323129952,570.3494359416267,717.9274672955274,445.9976503068751,551.7859258651733,609.5493550240993,50.79577958534161,4139.424547906622,2558.459716796875,6994.72705078125,4436.267333984375,854.8852423485342,32.010544253134775,74.779393511586,324.3141773221829,-0.080819691202201,0.1125312499756745,0.0974228590572032,93.00428964701707,0.292949293248464,41,1482.1,1482.1,242.5,3197.1,1,14.225391761283662,0.0,24.328297519627164,0.0250226768008507,0.1282412186043602,45.87907791435989,8.670357511494792,1.0259297488348815,0.0,5.717681648994401,45.87907791435989,5,2192.043598175049,6.9046021994513085,27.062266644136404,163.4971923828125,248.0958895356165,16.564243099013755,468,0.7814641214201125,0.0521748333057394,1810,0.1899835172882373,5.701223274669958,0.059841903346263,11,0.0346483182438505,1.1212517688710333
NP0445405,Gandaki,Mustang,Thasang,1,290.13512248354004,83.61462178459722,28.68091072491938,50.77027269487872,201.02505340576167,6904.757086503506,575.3964238752922,696.2057219982147,420.4244602896951,508.9429817199707,633.6660760641098,52.80550633867582,3833.805313291312,1619.8240966796875,6850.13720703125,5230.3131103515625,1044.906858739775,31.67243639280389,76.08725405794148,123.826567973853,0.1311599529420012,-0.0878920375797842,0.0277475950048451,107.30122691032663,0.3698319113929892,48,1458.8,1458.8,140.0,3512.6,1,22.88447137313636,0.0,27.867792225474847,0.0646742460344475,0.1021172305807066,16.3727959697733,18.97678534958132,1.776839812104296,0.0,11.954523793314726,27.867792225474847,5,629.6215209960938,2.170097558704956,629.6215209960938,629.6215209960938,158.54035699321727,31.478876478877307,280,0.5464362798827005,0.1084972967402909,1165,0.0992765023522462,4.015370459211097,0.034217333462576,17,0.0585933886751833,0.5754461116268647
NP0447301,Gandaki,Nawalparasi East,Madhya Bindu,1,233.7270321007885,83.98012374831326,27.628072485737285,177.04288524494453,1065.771990966797,24077.832393312456,2006.486032776038,2844.242414522171,1787.9225886258212,2406.25460357666,1842.337318849564,153.5281099041303,289.3622155425556,114.46046447753906,1068.861328125,954.4008636474608,187.78512917103671,10.870189443902564,56.66484693443264,173.48710934544113,0.0152034056494193,-0.1331721881764079,0.8104243236492904,98.76689673016864,0.4225736999371902,30,1147.1,1147.1,152.5,152.5,2,71.63292160108664,0.2461904155524428,3.4084638567001995,19.72070121821809,0.878645103781994,2.8821257268984253,0.0,1.230952077762214,0.0,0.0,71.63292160108664,2,44838.67477655411,191.8420576924052,180.80110796997624,2197.22265625,439.8899949222165,64.83765008183552,794,1.8820672601213104,0.2774075788284345,11338,0.6275598479276332,48.509579307500864,0.2685011837471221,8,0.034227962115012,3.887156172608728
NP0447302,Gandaki,Nawalparasi East,Kawasoti,1,108.49518400208898,84.1215404099159,27.64167990160996,160.91132385765806,863.5536499023438,21883.94004464149,1823.6616703867912,2505.40908964475,1638.7792117956917,2105.7501017252603,1698.194697856903,141.5162248214086,223.1582627582207,132.0,1323.4073486328125,1191.4073486328125,144.19431435272563,4.998435061698153,54.95132929695411,184.6633598580082,-0.0203571189243382,-0.2495626207056014,0.4829797796966198,44.93665186630537,0.4141810742994837,14,1159.8,1159.8,163.3,32018.7,1,43.50027619222979,1.4730252255569878,3.0473209353710184,44.19075676670963,5.4686061498803165,2.0714417234395137,0.0,0.2485730068127416,0.0,0.0,44.19075676670963,3,51854.21555328369,477.9402517284572,101.674932457419,435.7750244140625,601.2254258494298,55.15561735638036,1655,5.541494135240637,0.5083692687715834,23519,1.357833732972759,216.7745989494535,1.2515152128288156,31,0.2857269682993774,0.3581504435901144
NP0447303,Gandaki,Nawalparasi East,Devchuli,0,112.85939444854375,84.20547405149046,27.7155268775402,157.83822423438815,813.4686889648438,21465.99849587679,1788.8332079897325,2462.9771031737328,1599.2327839244497,2018.174865722656,1677.6259206533432,139.80216005444527,555.9600347620964,152.35958862304688,1910.2882080078125,1757.9286193847656,385.4192691580265,18.051705668994376,60.82401659177405,173.04303524866648,0.0467692422403083,-0.3832846975793375,1.156839166495352,50.7411944703779,0.4495965508082931,21,1159.8,1159.8,163.3,32018.7,1,70.80414930401632,0.6915506693855838,2.039187871265183,22.45766468658569,3.643940065608653,0.1950527529036262,0.0,0.1684546502349499,0.0,0.0,70.80414930401632,2,34383.80562591553,304.6605539035761,42.81918508831323,180.28744506835935,469.0961026749652,21.23244205657897,1199,4.1564648203818,0.1881318091446922,15961,0.9820533445013936,141.42376075991737,0.8701564892315131,8,0.0708846617429571,3.9867301426509703
NP0447304,Gandaki,Nawalparasi East,Gaidakot,1,160.10996634420883,84.32924154284038,27.729764515337944,154.04703903348508,704.9199741908482,20950.39730855397,1745.8664423794974,2358.05561372212,1491.1904172030363,1850.141640799386,1717.0760148593358,143.08966790494466,391.3051156544325,157.5,1532.286865234375,1374.786865234375,218.9195364057591,16.390757729156043,61.43310221185898,130.2645924245896,0.0905960923288156,-0.0767348716129616,2.0124608076770656,69.87916503442162,0.4364448174587299,27,1183.3,1183.3,210.0,31855.4,1,76.19047619047619,0.2181500872600349,0.8539017701321366,15.12091747693842,4.070057342308651,0.9099975068561456,0.0,2.636499626028422,0.0,0.0,76.19047619047619,2,47171.47900390625,294.6192550093709,21.59866254757612,370.3250122070313,631.1186831421771,38.35507934928617,2232,3.941782623233964,0.2395546025337945,23439,1.8718861285091093,146.39313551293984,1.1691253025966395,8,0.0499656591195664,3.654066449430486
NP0447401,Gandaki,Nawalparasi East,Baudikali,1,92.00370974343316,84.06355463896423,27.812214964465937,163.55383579929668,829.7839558919271,22243.32166870435,1853.610139058696,2527.666807333628,1579.647397590406,2014.0395914713545,1719.543468952179,143.29528907934824,810.3542509419459,264.5,1793.1466064453125,1528.6466064453125,372.98014726573217,27.242001516964667,69.51636907893732,4.210797586722366,0.0217774321631692,0.2957890266055601,0.3109961867877866,40.81215104079586,0.4435924502893087,16,1258.6,1258.6,174.2,11290.7,2,83.1071544891977,0.3365541200738248,7.241341873846488,7.621322331994354,0.0759960916295733,0.6622516556291391,0.0,0.955379437628922,0.0,0.0,83.1071544891977,3,6779.677651882172,73.68917699936635,72.89975969765776,1158.944091796875,339.12312915732724,38.17259080294946,621,3.685972338539669,0.4149027350027487,5102,0.2063988651142569,55.45428563943488,0.2243375464857153,0,0.0,4.900777087228558
NP0447402,Gandaki,Nawalparasi East,Bulingtar,1,147.8657259468909,84.19492123468993,27.80852425799261,162.78551419442442,721.0451049804688,22138.82993044172,1844.9024942034769,2527.4427061762126,1518.1811458042691,1878.080614362444,1778.909053666251,148.24242113885427,726.5125348050943,215.33135986328125,1915.0120849609373,1699.6807250976562,350.1445987536516,28.34729179003359,66.60791762973649,9.176409806742193,0.0404377464871527,0.2503231770249069,0.2538441742033416,55.17792691027864,0.3731623847036531,18,1233.5,1233.5,162.7,11588.9,1,86.2066648750336,1.0077936038699271,4.709755442085461,5.818328406342381,0.1746842246707874,0.4971781779091642,0.0,1.585595270088686,0.0,0.0,86.2066648750336,2,12660.871482491491,85.62411202065117,33.057105698411206,1539.5594482421875,486.8334686070722,65.52117744169162,1218,3.292402383916397,0.4431126755176851,6638,0.2387200078094473,44.89208001037494,0.1614437735863067,12,0.0811547092685295,1.9640412606008093
