adm3_pcode,adm1_name,adm2_name,adm3_name,flood_label,area_km2,centroid_lon,centroid_lat,chirps_monthly_mean_mm,chirps_monthly_max_mm,chirps_total_mm_available_period,chirps_mean_annual_total_mm,chirps_max_annual_total_mm,chirps_mean_monsoon_total_mm,chirps_max_monsoon_total_mm,chirps_latest_12_month_total_mm,chirps_latest_12_month_mean_mm,elevation_mean_m,elevation_min_m,elevation_max_m,elevation_range_m,elevation_std_m,slope_mean_degrees,slope_max_degrees,aspect_mean_degrees,aspect_sin_mean,aspect_cos_mean,nearest_river_distance_km,river_length_km,river_density_km_per_km2,river_intersection_count,hybas_dist_sink,hybas_dist_main,hybas_sub_area_km2,hybas_up_area_km2,landcover_tiles_used_count,lc_10_tree_cover_percent,lc_20_shrubland_percent,lc_30_grassland_percent,lc_40_cropland_percent,lc_50_built_up_percent,lc_60_bare_sparse_vegetation_percent,lc_70_snow_and_ice_percent,lc_80_permanent_water_bodies_percent,lc_90_herbaceous_wetland_percent,lc_100_moss_and_lichen_percent,dominant_landcover_percent,landcover_classes_over_5_percent,worldpop_population_sum,worldpop_population_density_per_km2,worldpop_population_mean_pixel_value,worldpop_population_max_pixel_value,osm_road_length_km,osm_major_road_length_km,osm_road_segment_count,osm_road_density_km_per_km2,osm_major_road_density_km_per_km2,osm_building_count,osm_building_footprint_area_km2,osm_building_density_per_km2,osm_building_footprint_percent,osm_place_count,osm_place_density_per_km2,osm_nearest_place_distance_km
NP0436401,Gandaki,Gorkha,Chumanubri,1,1649.247197,84.83053231,28.53373224,83.02987102,371.8996255,11292.06246,941.0052049,1265.855808,795.8173161,1055.41545,1075.337552,89.61146267,4404.775845,1254.066406,8043.814941,6789.748535,1071.577463,34.56468441,88.2905956,101.421845,0.079616412,-0.016085076,0.070254002,567.1734684,0.343898398,276,1355.6,1355.6,219.5,2195.5,1,14.66129226,0,24.78341956,0.025267717,0.011430634,23.34135483,25.35615449,0.422933462,0,11.39814703,25.35615449,5,5170.734598,3.135208965,191.5086888,410.5592041,392.7676912,0,467,0.238149679,0,3059,0.199303966,1.854785629,0.012084542,48,0.029104188,0.415023143
NP0436402,Gandaki,Gorkha,Ajirkot,0,198.1654191,84.68139426,28.23696462,130.7521661,529.278698,17782.29459,1481.857882,1793.083496,1268.759741,1467.758282,1652.746403,137.7288669,2490.843055,579.7668457,5773.942383,5194.175537,1185.589061,29.62037825,70.14510078,170.2268536,0.041538,-0.241153183,1.885945493,90.73469627,0.457873511,56,1288.8,1288.8,178.8,178.9,1,66.95425361,0,15.11336276,2.2070626,0.14546549,4.088081862,1.299157303,0.030096308,0,10.16252006,66.95425361,3,4215.708557,21.27368427,468.4120619,1706.131714,330.7827986,13.38866379,693,1.669225641,0.067563069,7412,0.37085087,37.40309503,0.187142071,15,0.075694337,4.743506831
NP0436403,Gandaki,Gorkha,Barpak Sulikot,0,200.733722,84.73341099,28.16249458,137.9975838,576.9678432,18767.6714,1563.972616,1922.201073,1335.148743,1561.651302,1760.299822,146.6916519,1782.900645,475.8257751,5434.853027,4959.027252,867.5540217,29.47972852,71.16641102,261.2627885,-0.377041717,-0.057946124,1.53692575,78.22234172,0.389682117,43,1288.8,1288.8,178.8,178.9,1,84.17721519,0,8.915150316,2.675039557,0.321400316,0.894976266,0.138449367,0,0,2.877768987,84.17721519,2,24355.61843,121.3329688,347.9374061,1456.213623,349.227579,13.39231113,673,1.739755411,0.066716798,11464,0.505693798,57.11048392,0.251922693,15,0.07472586,1.614395999
NP0436404,Gandaki,Gorkha,Dharche,1,651.666564,84.92481124,28.30459772,96.40937354,399.5861192,13111.6748,1092.639567,1393.713483,951.0925382,1163.462491,1296.496916,108.0414096,3293.712909,623.4200439,7296.173828,6672.753784,1239.099017,35.51047074,84.46267381,310.4438185,-0.050027497,0.042642752,0.949681059,222.524228,0.341469457,105,1329.5,1329.5,477.1,3484.1,1,48.79077229,0,21.7401268,0.123749141,0.071805057,9.507295088,7.39133756,0.223054007,0,12.15186006,48.79077229,5,3325.937122,5.103740633,69.29035672,1658.550293,260.7269439,0,398,0.40009256,0,5506,0.248633992,8.44910619,0.03815356,15,0.023017906,2.116901074
NP0436405,Gandaki,Gorkha,Siranchowk,0,121.7449936,84.60103886,28.09117545,144.5573582,598.0736084,19659.80072,1638.316727,2023.867768,1368.493406,1613.634117,1784.832871,148.7360726,1049.699742,395.2885132,1971.253906,1575.965393,339.7605683,24.75158767,60.74659833,319.4550179,-0.015640245,0.018283289,1.969630913,48.32764799,0.39695799,25,1275.8,1275.8,306.6,306.6,1,82.3390383,0,12.60798696,4.417277914,0.211898941,0.32599837,0,0.097799511,0,0,82.3390383,2,8065.720764,66.25094411,1344.286794,2030.364746,478.5693096,54.84490077,1248,3.930915725,0.450489989,10031,0.507506838,82.39353182,0.41686054,20,0.164277802,1.028414209
NP0436406,Gandaki,Gorkha,Aarughat,1,160.8492084,84.85002269,28.12059667,135.9460246,568.5596619,18488.65935,1540.721612,1953.010859,1319.561492,1601.456014,1769.978894,147.4982412,1641.591751,475.5,3378.931885,2903.431885,752.5284667,28.58019528,73.43449568,281.4810037,-0.06612283,0.013430013,0.019090885,66.03468061,0.410537803,33,1295.2,1295.2,399.3,3989.2,1,85.09665864,0,11.67315175,2.445803224,0.253227101,0.24087456,0,0.290284726,0,0,85.09665864,2,13726.59238,85.33826508,428.9560119,1373.641846,260.0947024,8.083921813,471,1.617009527,0.050257766,7089,0.31421457,44.07233379,0.19534729,20,0.124340059,2.526249537
NP0436407,Gandaki,Gorkha,Bhimsenthapa,0,101.2997851,84.74028507,28.01166855,164.4513244,707.4777425,22365.38012,1863.781677,2289.806889,1575.252497,1861.200226,2086.037134,173.8364278,753.4555325,379.5,1243.741089,864.2410889,175.2029879,21.11212047,57.05534681,165.2199118,0.037148872,-0.140800946,0.323083594,36.89699901,0.364235709,20,1295.2,1295.2,399.3,3989.2,1,83.74950845,0,6.370428628,8.798662996,0.265434526,0.098309084,0,0.717656311,0,0,83.74950845,3,12049.63949,118.9502966,365.1405906,2568.713623,321.9052421,65.57983586,671,3.177748519,0.647383761,7845,0.380028199,77.4434022,0.375152029,19,0.187562096,2.348503315
NP0436408,Gandaki,Gorkha,Shahid Lakhan,0,149.0639059,84.63325763,27.92613849,136.5343532,561.6010498,18568.67203,1547.389336,1927.665465,1273.18125,1503.813586,1667.508452,138.9590377,819.2263093,228,1708.573608,1480.573608,268.3701261,25.91708562,60.98511719,158.3591961,0.011721778,-0.029544343,1.472953761,57.48627297,0.385648508,25,1241.2,1241.2,138.6,11929.8,1,88.76254181,0.02006689,4.35451505,5.752508361,0.387959866,0.086956522,0,0.635451505,0,0,88.76254181,2,11411.22357,76.55255981,543.3915987,4255.133301,626.4626741,49.647503,1423,4.202644968,0.333061868,13552,0.581592608,90.91402723,0.390163269,20,0.134170642,1.266379537
NP0436409,Gandaki,Gorkha,Gandaki,0,123.9322191,84.7074234,27.85924077,138.6368955,579.1950195,18854.61778,1571.218148,1954.916501,1311.057949,1552.558661,1724.900666,143.7417222,809.4085976,252.4978638,1714.20105,1461.703186,319.9386073,26.85653524,67.53842744,119.9681769,0.044039934,-0.025393864,1.166642591,60.91017052,0.491479705,35,1241.2,1241.2,138.6,11929.8,1,87.06459657,0.056310836,3.83718124,7.26409782,0.185021318,0.249376559,0,1.343415654,0,0,87.06459657,2,17308.5866,139.6617177,432.7146649,3056.083008,395.5611989,0.156456605,591,3.191754347,0.001262437,6005,0.288724652,48.45390525,0.232969808,26,0.209792096,1.24978359
NP0437301,Gandaki,Lamjung,Madhya Nepal,0,113.9915436,84.26183627,28.14951546,179.9251131,706.9372253,24469.81538,2039.151282,2597.684814,1667.941294,1986.220535,2239.85705,186.6547542,777.4662227,370,1513.010864,1143.010864,247.8369344,23.25658944,68.60556723,201.9223925,-0.081593043,-0.202740077,0.084452912,65.57123078,0.575228905,35,1283.3,1283.3,197.5,197.6,1,75.71218287,0,14.10511733,8.251796692,0.294397783,1.1429561,0,0.493549225,0,0,75.71218287,3,11635.94778,102.0772894,179.0145813,2472.076416,313.1450501,37.85598704,523,2.747090181,0.332094696,4802,0.277251982,42.12593189,0.243221535,7,0.061408064,2.397988974
